mode,avg,median,max,min,maxfreq,maxfreq_power,second_maxfreq,second_maxfreq_power
morse,1.90E-17,0.647274919,1.394257883,1.453652674,1053,1555.609253,88,656.9968872
morse,1.65E-17,0.017946278,1.645228478,1.665585447,996,1264.876953,727,1207.253906
morse,3.47E-18,0.032119187,1.416112172,1.369513937,1018,1132.45874,444,1123.482422
morse,1.41E-17,0.047715383,1.210139774,1.20256727,951,1799.41748,481,453.5865784
morse,8.20E-18,0.006370375,1.308701728,1.307369037,952,1378.04126,1669,888.3637085
morse,1.73E-18,0.025558585,2.586342133,2.475593261,979,862.5610962,2026,788.4727173
morse,2.23E-17,0.674599933,1.463588799,1.419516808,950,1540.853394,1491,582.9762573
morse,1.13E-17,0.031663557,1.64500718,1.661494276,1066,1281.473877,407,1183.364624
morse,8.29E-18,0.009179266,1.525123508,1.548248872,1072,1045.121582,1438,813.3294678
morse,3.54E-17,0.100036499,2.504826609,2.349123941,1017,913.7137451,1209,865.276123
morse,1.04E-17,0.654305899,1.36084298,1.322282132,986,1568.960571,1974,630.5684204
morse,5.05E-17,0.098141523,2.114497536,1.975685825,1027,953.0651855,1558,847.7614746
morse,1.75E-17,0.040896223,1.455205791,1.45798303,982,1303.512573,0,948.1968384
morse,6.64E-18,0.023448458,2.197786529,2.142719837,966,976.1896362,772,953.1414795
morse,1.79E-17,0.012201451,1.742191133,1.690243676,975,1026.969971,438,811.9755249
morse,1.81E-17,0.029768833,1.425938137,1.44548466,1107,1483.907349,72,615.447876
morse,1.65E-17,0.001457805,1.884057626,1.842341623,1079,833.440979,806,771.0742798
morse,1.04E-17,0.01675847,1.700752398,1.729079793,1043,1236.070313,170,799.4294434
morse,1.35E-17,0.011046891,1.41648278,1.428738295,1055,1448.636475,247,1244.09436
morse,1.79E-17,0.015499465,1.429307976,1.429989511,981,1296.496948,335,1126.993652
morse,2.44E-17,0.034769091,1.514343817,1.532654614,1001,1380.519775,724,903.3594971
morse,1.85E-17,0.021848253,1.86182572,1.912456309,952,1175.434082,1491,722.0682373
morse,6.61E-18,0.007077877,1.420517898,1.373139744,1051,1545.041016,1833,697.3053589
morse,6.94E-18,0.017485807,3.189316694,3.238731908,990,661.7240601,212,660.0897217
morse,1.39E-17,0.027629628,1.416258307,1.445392775,1055,1021.640259,568,1008.98999
morse,2.19E-17,0.018606642,1.473402841,1.47387266,1040,1345.757446,379,1088.207397
morse,1.55E-17,0.021871429,1.48267544,1.494708094,941,1456.956421,416,808.2785645
morse,1.55E-17,0.043719498,2.335286726,2.45443911,1015,905.2675781,155,868.7836304
morse,6.99E-18,0.020412623,1.586558942,1.64732255,1087,1334.981934,358,1007.81488
morse,6.26E-18,0.002543669,2.411582355,2.544134298,954,902.9359131,314,887.071106
morse,2.09E-17,0.007036837,1.403192171,1.447440043,1108,1388.983398,646,1002.323181
morse,2.82E-17,0.003522313,1.348352596,1.335406032,952,1636.089111,331,472.4112244
morse,1.45E-17,0.003553567,1.393565359,1.40556642,1103,1556.146484,425,603.1812134
morse,1.64E-17,0.014193716,1.361905713,1.374162284,1073,1551.479736,1821,653.9195557
morse,1.32E-17,0.03104224,1.637405876,1.656260942,969,1249.725586,1881,831.7286987
morse,2.60E-17,0.009569336,1.169618853,1.213161642,990,1676.148926,1366,649.671875
morse,1.26E-17,0.005815029,1.316628206,1.338080931,993,1079.930908,351,995.5564575
morse,1.39E-17,0.008858968,1.813861842,1.796878887,1077,1160.110596,57,1073.036621
morse,1.40E-17,0.030001848,1.52932008,1.613549163,1051,1369.656738,335,786.0015259
morse,2.29E-17,0.004041703,1.351196361,1.346621075,946,1617.884399,1259,502.0714417
morse,1.18E-17,0.050591667,1.620031493,1.613039387,975,1364.099121,1174,596.7504272
morse,1.91E-17,0.489773388,3.201988073,2.690060651,1776,130.6605072,1660,127.4555817
morse,1.96E-17,0.024485273,1.603148087,1.660023572,971,1226.275146,433,870.2457275
morse,1.23E-17,0.006820635,1.820031327,1.855003294,964,993.9815063,75,954.6858521
morse,2.04E-17,0.033193004,1.287581712,1.284003867,1085,1450.511719,1834,804.0858154
morse,5.04E-18,0.030769239,1.570188469,1.557752187,1104,1235.403076,674,958.7468872
morse,2.52E-17,0.007925368,1.980317364,1.955489776,979,1095.016235,176,656.1674805
morse,2.50E-17,0.005952358,1.613629013,1.565042742,998,1285.098022,1522,1185.494385
morse,6.25E-18,0.009902583,1.948043808,1.996321412,1103,1088.567871,200,856.7061768
morse,1.69E-17,0.013252974,1.202705903,1.192615524,1071,1507.662354,1563,709.8358765
morse,1.05E-17,0.004759045,1.598934498,1.587055985,1089,1306.16687,289,887.3410034
morse,2.48E-17,0.102823889,1.598394135,1.643063878,1036,855.8191528,1536,853.437561
morse,1.44E-17,0.033420461,1.445593776,1.424455853,952,1540.082642,1897,579.2307739
morse,1.41E-17,0.025429078,1.94397064,1.943646133,990,933.2202148,161,885.3494873
morse,1.06E-17,0.012010467,1.378746287,1.312478987,987,1642.843262,1162,635.8529663
morse,4.22E-17,0.114440307,1.371197626,1.159741259,1029,1479.262817,382,714.2676392
morse,5.59E-17,0.134547126,1.280339803,1.379928778,1021,1508.537109,536,784.3625488
morse,1.66E-17,0.009747781,1.568843909,1.492598068,1076,1436.375854,526,1037.945435
morse,4.27E-18,0.006527327,1.742719604,1.702910799,951,1075.894043,1641,827.5313721
morse,3.68E-17,0.088865844,1.646801068,1.520845373,1014,1011.351501,446,825.034729
morse,3.07E-17,0.023391523,1.224919643,1.271493916,1063,1749.523193,1925,465.5757446
morse,2.02E-17,0.018774118,1.443674068,1.386751622,992,1540.098267,1147,619.1102905
morse,1.13E-17,0.012937624,1.62161675,1.548067353,981,1051.511108,1597,798.6398926
morse,1.53E-17,0.014631156,1.363645801,1.35476893,946,1598.093384,1159,865.8552246
morse,1.56E-17,0.024115748,2.006082431,1.967842657,1075,1109.523438,394,682.6976929
morse,2.13E-17,0.008085504,1.554944324,1.554187653,956,1150.013794,1280,810.4158325
morse,2.26E-17,0.903360752,1.960307943,2.057207113,1016,923.6867676,1664,649.8098755
morse,6.94E-18,0.026471279,1.561381035,1.525467419,1035,925.1444092,1696,787.0517578
morse,4.67E-18,0.017173699,1.460423667,1.567867282,992,1406.526733,335,614.8365479
morse,6.94E-17,0.326542662,2.684668387,2.74636699,1022,812.267395,840,799.9918213
morse,1.69E-17,0.010469736,1.395631313,1.424121025,941,1476.884277,1739,951.0515747
morse,1.86E-17,0.675327919,1.353705568,1.386861256,1001,1320.361938,556,928.8954468
morse,8.67E-18,0.014202577,1.628182217,1.650970126,1091,1361.467896,851,946.0129395
morse,8.85E-18,0.007400725,1.317584266,1.277481161,982,1261.260376,2040,1123.444214
morse,1.71E-17,0.023069267,1.221545028,1.266017445,1075,1717.280029,600,478.1161499
morse,1.22E-17,0.002302488,1.861047384,1.842958485,981,992.1645508,1394,957.1055908
morse,2.95E-18,0.024713022,1.215140275,1.190170373,976,1297.860718,1611,852.0767212
morse,1.99E-17,0.040745158,2.048322661,2.042987672,1010,1066.810303,1393,977.562439
morse,4.09E-18,0.157177783,6.503343703,6.498870358,978,333.3017578,1945,322.473175
morse,6.25E-18,0.037073172,1.6139461,1.574106401,1003,1308.457397,1706,796.8377686
morse,1.19E-17,0.009530755,1.275686479,1.272181507,991,1198.543091,330,1031.882568
morse,2.26E-17,0.046790036,1.821937781,1.836283968,1045,1099.803955,1740,912.218689
morse,2.19E-17,0.056383958,1.25332645,1.278439366,1033,1113.8479,2036,743.5903931
morse,4.77E-18,0.025118519,1.486631962,1.401364304,1103,1414.686523,1874,1291.208252
morse,1.69E-16,0.894922884,1.693786794,1.33747078,1023,1117.752319,563,973.0967407
morse,2.36E-17,0.022612297,1.483669081,1.57904293,1061,1354.456055,1652,958.8389893
morse,1.25E-17,0.008455831,1.251109804,1.250482827,1036,1273.702515,293,1050.846069
morse,8.10E-18,0.010105718,1.407541777,1.415872338,968,1494.467407,1516,733.4620361
morse,1.72E-17,0.012534513,1.45862114,1.454806073,1104,1308.220459,4,926.5547485
morse,1.72E-17,0.028740302,1.892728912,1.870389913,1074,1035.044556,391,895.4387817
morse,4.23E-17,0.05616256,1.325790822,1.405525004,1028,1600.176147,1800,657.2716675
morse,1.73E-17,0.035649428,1.22679176,1.216646947,965,1832.810547,681,512.9342651
morse,3.58E-17,0.13784516,1.744764847,1.619635942,1028,1271.322754,1499,1064.509521
morse,1.40E-17,0.011980708,2.010437537,2.027410267,1087,1023.271484,291,934.5319824
morse,1.78E-17,0.008179739,1.565656401,1.595176006,1051,1341.809937,149,861.5621338
morse,2.78E-17,0.914685959,1.417704952,1.113983918,1026,1818.372437,1609,550.9015503
morse,3.10E-17,0.072918547,1.238825087,1.210462128,1029,1788.523926,900,421.8720703
morse,2.33E-17,0.047926722,1.716860661,1.624716964,1031,1244.109131,222,1071.616699
morse,2.50E-17,0.046871378,1.197844214,1.270918591,1032,1802.797729,1971,455.2731018
morse,1.76E-17,0.009295823,1.254671122,1.235339678,1075,961.4932861,1670,903.0203857
morse,2.33E-17,0.079894755,1.501924361,1.588150192,1037,1232.655762,490,996.56427
morse,1.05E-17,0.025402698,1.408254272,1.370478278,1098,1473.549072,894,713.8134155
morse,8.67E-18,0.007643208,1.423408033,1.419789389,1007,1527.04187,2032,685.8319702
morse,2.32E-17,0.014930655,1.708586484,1.729596667,1072,1108.325439,1649,1029.508911
morse,2.86E-17,0.061562061,1.918233042,1.976606647,1040,959.7423096,29,920.996521
morse,7.22E-18,0.035999027,1.522207933,1.487521594,939,1437.226563,1586,904.6140137
morse,2.51E-17,0.017706548,1.377962577,1.374507756,981,1459.903687,1794,883.086731
morse,7.06E-18,0.009152837,1.349416141,1.362408046,1071,929.6356201,1762,925.8745728
morse,8.67E-18,0.030510629,1.417668206,1.389791435,1060,1431.888428,805,1269.899048
morse,9.55E-18,0.043925664,1.990516675,1.872290233,1069,1070.163452,703,935.8984985
morse,1.74E-17,0.571715958,1.265009236,1.266128481,1012,1579.444702,393,712.8562012
morse,3.13E-18,0.013931371,2.009937453,1.937424221,961,1051.956055,370,808.2974854
morse,5.93E-17,0.221255572,1.497823061,1.952688896,1026,1331.473511,238,854.6727295
morse,2.87E-17,0.003879708,1.24976909,1.280371443,939,1411.146362,1810,806.5222168
morse,2.02E-17,0.00462565,1.434224822,1.42166838,990,1431.495483,673,947.4348755
morse,1.68E-17,0.015093154,1.30862505,1.299234708,1081,1623.172241,2003,774.2679443
morse,3.63E-18,0.013154186,1.687017819,1.70324876,988,1241.091675,152,1126.026367
morse,1.49E-17,0.00562354,1.441787013,1.470047313,946,1480.660156,1618,704.0048218
morse,1.40E-17,0.001674086,1.566319738,1.530001888,993,1252.156494,252,948.1860962
morse,2.12E-17,0.003064335,1.87608062,1.86030443,944,1121.814087,1452,1094.742676
morse,2.41E-17,0.00369782,1.537798269,1.545808527,956,1244.115356,410,866.624939
morse,6.61E-18,0.003757965,1.682374389,1.720403941,1092,1068.943359,256,936.3659668
morse,1.50E-17,0.029605088,1.460269869,1.470810078,1077,1529.42395,1144,466.8946533
morse,1.01E-17,0.009501229,1.827206404,1.792328141,1099,1211.108276,1775,690.5488892
morse,1.47E-17,0.011729486,1.691702614,1.713495668,944,1073.311157,1805,923.0214233
morse,2.58E-17,0.019149923,1.766211885,1.74657488,988,1147.591797,1896,1103.776489
morse,6.94E-18,0.081915013,1.575725064,1.677987355,1007,1317.471802,674,951.302002
morse,2.90E-17,0.012537124,1.338517664,1.284452372,1098,1599.960571,415,740.1820068
morse,3.35E-17,0.022243074,1.399618423,1.375786749,972,1533.988525,775,694.3703003
morse,1.33E-17,0.014040474,2.164568392,2.172374037,960,999.7174072,1672,962.3515015
morse,1.06E-17,0.016155567,1.60572422,1.629206525,986,1336.54541,399,604.1040039
morse,2.10E-17,0.003354704,1.388011697,1.385078534,944,1204.818237,567,1067.343262
morse,3.44E-17,0.017953908,1.227085386,1.212338017,1085,1839.837646,1617,438.0605164
morse,7.26E-18,0.029676886,1.590948596,1.592187168,955,1186.62207,557,875.2014771
morse,1.51E-17,0.016103156,1.691772501,1.638343481,1051,1311.647705,1558,692.3789063
morse,1.40E-17,0.021403092,1.943762204,1.948785434,1078,1077.207153,496,927.687439
morse,1.22E-17,0.025636162,1.509497641,1.524821485,985,1466.204956,1924,800.7811279
morse,1.44E-17,0.014510828,1.531215436,1.530121484,1039,1421.321045,1488,855.3994141
morse,3.91E-17,0.013651891,1.457492329,1.435324564,1008,971.9963379,100,914.5831909
morse,5.12E-18,0.07004112,2.796350149,2.7851824,1099,768.5139771,1932,755.4788208
morse,3.10E-17,0.036485131,1.526345079,1.382687929,1023,1286.940186,57,787.5783081
morse,1.03E-17,0.037668982,1.659121319,1.658209467,1081,1251.617188,569,839.2009277
morse,8.94E-18,0.00564964,1.460654774,1.467863049,953,1421.331055,712,1187.021362
morse,4.56E-17,0.729468235,1.516479977,1.3725494,1016,1391.636841,318,907.1115112
morse,1.26E-17,0.026757482,1.470519468,1.480746352,1015,1406.797729,1459,938.2723389
morse,1.04E-17,0.009231349,2.143047442,2.193788611,1061,1020.612732,26,759.4885254
morse,1.30E-17,0.02899214,1.538355539,1.587039091,981,1146.196533,1555,716.9012451
morse,9.00E-18,0.015831512,1.525472538,1.504351979,1085,1415.969482,14,581.5354004
morse,5.72E-17,0.175825679,1.345238601,1.689741026,1026,1111.479858,161,977.5166626
morse,2.37E-17,0.020286096,1.529096839,1.504378172,1100,1275.087891,53,1078.447876
morse,1.41E-17,0.00236438,1.331691851,1.327245436,948,1577.706299,500,910.0774536
morse,3.30E-17,0.008462053,1.595732002,1.605319398,1039,1308.40625,322,1148.836182
morse,1.64E-17,0.004011052,1.500685097,1.477538983,1106,1059.846558,100,981.0996094
morse,1.14E-17,0.018308539,1.765806911,1.703613385,982,1088.560059,47,842.571167
morse,3.18E-17,0.137102806,1.67455065,1.948484118,1019,1216.118164,1756,991.8815918
morse,2.67E-17,0.014293621,1.681548037,1.711999928,991,852.3397827,1180,823.1488647
morse,1.06E-17,0.019204661,1.360240073,1.331918789,1050,1373.250854,308,818.7214966
morse,2.60E-17,0.010792828,1.629977644,1.620191234,983,1337.590088,1469,998.1447144
morse,5.08E-18,0.005652293,2.283723419,2.260415446,1098,958.09198,2003,901.7572021
morse,2.24E-17,0.001070149,1.375646744,1.384577418,953,1582.030884,660,665.1568604
morse,2.33E-17,0.010429867,1.392418049,1.395232933,1003,1422.352661,418,1115.418335
morse,1.65E-17,0.016974395,1.24988584,1.286759687,1056,1682.160156,108,592.8342896
morse,9.19E-18,0.015425676,2.395500864,2.357657,1070,909.2612915,496,865.3325195
morse,5.06E-18,0.015061151,1.964559533,1.962659902,1095,1030.016724,517,705.8428345
morse,1.60E-17,0.634954754,1.367047835,1.394059236,1069,1211.878418,2,954.7719116
morse,1.36E-17,0.01219818,1.409063563,1.39992794,970,1555.842529,195,755.2240601
morse,1.32E-17,0.013106153,1.28764714,1.277307779,998,1464.642578,165,1001.324646
morse,6.94E-18,0.003366884,1.189892237,1.178146527,948,1761.622559,1506,685.0477295
morse,4.34E-18,0.017751341,1.374669629,1.373748028,1055,1420.394165,1244,1285.492798
morse,1.53E-17,0.036563791,1.169214215,1.162475867,1003,1882.442139,444,326.1329041
morse,1.73E-17,0.008034101,1.359519246,1.379143665,1050,1416.141479,94,734.6826172
morse,3.75E-17,0.04405823,1.244196007,1.134460648,1016,1821.267334,627,550.854187
morse,1.19E-17,0.002286671,1.423538357,1.417024834,953,1490.122559,1053,819.2034302
morse,3.47E-18,0.036082384,1.314112427,1.248143902,1016,1355.04834,1773,937.2675781
morse,1.66E-17,0.00667914,1.216815778,1.182028764,970,1419.356567,296,804.9274292
morse,6.77E-18,0.006075287,1.279629915,1.29569359,1055,1538.078979,1218,660.8667603
morse,1.44E-17,0.003595708,1.687382594,1.742909759,947,1259.851196,299,811.1696167
morse,4.99E-18,0.02614748,1.997540085,1.930775379,1045,926.9865723,2013,669.2525635
morse,1.73E-17,0.027874704,1.615843691,1.64797957,1040,1316.990723,1816,1097.997192
morse,1.95E-17,0.516731232,1.163338197,1.181815293,992,1823.785034,657,484.2011414
morse,3.00E-17,0.001515211,1.373270442,1.338433095,944,1296.676514,1381,1116.877808
morse,1.14E-17,0.001671612,1.741803095,1.681228418,961,1278.732056,1887,805.0794678
morse,1.94E-17,0.028324148,2.019011711,2.003717061,979,988.0739746,222,971.5646362
morse,3.40E-17,0.007368368,1.523958979,1.550717494,1070,1433.529053,629,801.730896
morse,9.51E-18,0.047942707,2.742000992,2.854969229,1040,771.7150269,56,757.9370117
morse,1.81E-17,0.017702948,1.714227971,1.704540092,1058,1283.671265,1556,789.637207
morse,2.77E-17,0.024763819,1.650101399,1.703659684,1063,1305.645996,1947,866.0164185
morse,1.64E-17,0.005738653,2.150181467,2.246488756,980,986.4044189,95,899.2175293
morse,3.10E-17,0.506539418,1.72826555,1.312962146,1025,1249.998535,399,868.4724121
morse,1.04E-17,0.011512085,1.240594737,1.282540489,1052,1323.171021,1872,1004.635376
morse,3.27E-17,0.115019308,2.247172839,2.222014427,1034,837.2780151,1869,808.6333008
morse,1.43E-17,0.008599769,1.429690875,1.417911871,1076,1520.196899,951,720.1399536
morse,4.57E-17,0.006697749,1.178793731,1.171349828,1093,1705.890991,85,675.7208252
morse,1.10E-17,0.009433524,1.542836082,1.503392443,1093,1386.159912,1446,1179.590454
morse,1.40E-17,0.001130278,1.688224935,1.663611639,939,1329.768188,1201,1050.789063
morse,2.17E-17,0.010145747,1.483555504,1.465736503,981,1360.263916,141,1078.723877
morse,4.79E-18,0.011373849,1.601939127,1.662910364,1073,844.3190918,456,841.8931274
morse,1.61E-17,0.022570682,2.788900571,2.809964526,1087,775.8517456,911,758.0409546
psk31,2.89E-17,0.060167197,1.261648233,1.266096543,982,892.2827148,1994,750.1114502
psk31,2.82E-17,0.262768731,1.223758771,1.274073578,1034,1110.413696,2042,928.2984619
psk31,6.94E-17,0.537572386,1.203075444,1.473476834,1026,998.6113892,1983,810.4100952
psk31,1.90E-17,0.284631514,1.260678901,1.256826171,961,994.8043213,2033,851.4655762
psk31,3.63E-17,0.018062682,1.305731064,1.345831211,1047,1145.241577,1652,1069.056641
psk31,2.18E-17,0.43207254,1.305478859,1.252202172,1086,889.5871582,1820,794.4268799
psk31,3.04E-17,0.034578043,1.221329584,1.217322653,949,1363.985474,305,754.4261475
psk31,2.13E-17,0.069916681,1.250260255,1.268730416,1092,1076.370239,330,881.9296265
psk31,1.86E-17,0.551257238,1.227411213,1.214696566,1099,875.3006592,194,753.27948
psk31,9.54E-18,0.566476066,1.259454733,1.271280955,998,1178.473877,2040,985.0713501
psk31,3.56E-17,0.69605296,1.317609803,1.279835596,996,907.0814819,2031,904.6482544
psk31,3.59E-17,0.232425002,1.225625108,1.239545996,1099,1082.911133,1602,827.2862549
psk31,3.59E-17,0.013732363,1.279014428,1.351570325,960,968.0949707,739,915.0055542
psk31,1.84E-17,0.257586838,1.280700619,1.331156127,1010,871.1357422,223,869.1279297
psk31,2.86E-17,0.638132708,1.337631184,1.184647614,1028,946.8109741,1767,827.1209717
psk31,3.14E-17,0.561017431,1.233743296,1.272029644,963,959.1427002,1861,807.8786011
psk31,2.62E-17,0.026234027,1.274740878,1.314107422,1072,868.4022217,560,850.7997437
psk31,2.65E-17,0.584129064,1.230042062,1.221588289,1109,891.8944092,1744,838.7532959
psk31,1.94E-17,1.104773548,1.205191316,1.214402407,1062,1593.799438,134,569.265564
psk31,2.53E-17,0.583471372,1.276721966,1.278652129,976,960.965271,606,888.4472046
psk31,5.12E-17,0.054672634,1.213955683,1.238034773,1047,970.6115723,248,778.7575684
psk31,1.68E-17,0.032334767,1.344533606,1.349064094,999,1206.212891,568,1049.966309
psk31,4.61E-17,0.006471251,1.278067646,1.279546176,981,1056.629395,1966,995.4318848
psk31,1.84E-17,0.006463352,1.224608446,1.230050942,960,1229.567261,1471,972.7294922
psk31,4.18E-17,0.226892516,1.263143781,1.369420756,1033,1069.913818,187,930.2371216
psk31,1.96E-17,0.67247352,1.305716914,1.368643732,1027,1269.812622,1314,954.2606201
psk31,2.93E-17,0.538229221,1.227094585,1.23838806,958,1297.603638,1255,839.4440918
psk31,1.29E-17,0.53440758,1.273549731,1.289424693,1108,938.5002441,96,745.6188354
psk31,1.61E-17,0.218557133,1.28070002,1.225988945,1068,1100.247681,1454,864.6691895
psk31,2.44E-17,0.15482345,1.291758294,1.256275976,1070,896.3155518,1564,853.5444336
psk31,2.53E-17,0.065862994,1.357445882,1.336549911,959,983.3387451,106,891.2125244
psk31,2.89E-17,0.336705514,1.25167237,1.242596443,1091,885.8423462,1932,858.5032349
psk31,1.82E-17,0.034163006,1.23299156,1.219248356,943,977.1727905,1863,971.0145874
psk31,4.97E-17,0.470243754,1.252168704,1.26714141,1017,1110.693237,1461,828.0430908
psk31,7.08E-17,0.168075819,1.448434295,1.267770057,1031,976.5194092,775,835.8793945
psk31,1.93E-17,0.039431934,1.285943809,1.235418358,941,1113.318359,623,858.8357544
psk31,2.84E-17,0.498240349,1.406506289,1.273526604,1069,822.2266235,2010,803.9609375
psk31,3.72E-17,0.622269801,1.318839157,1.385900421,1035,1141.973755,408,1101.892944
psk31,2.36E-17,0.50518234,1.234125933,1.362262139,1009,963.9551392,1831,962.4035645
psk31,5.65E-17,0.08634256,1.240207957,1.27068319,1028,1059.277588,387,890.8165894
psk31,2.86E-17,0.066887509,1.281214812,1.360417761,1031,930.4086304,1665,916.5127563
psk31,2.95E-17,0.833131982,1.241950282,1.235992754,1065,995.3130493,840,859.7054443
psk31,2.29E-17,0.556790107,1.273026216,1.254598482,1076,1058.96582,1464,772.8336182
psk31,2.27E-17,0.559293885,1.171275808,1.243718452,1094,1268.490112,1599,953.9266357
psk31,4.21E-17,0.578839471,1.25016009,1.283363277,1001,882.7722168,686,784.4630737
psk31,2.94E-17,0.11363533,1.282456698,1.254379329,963,1072.331787,1307,988.0014038
psk31,2.04E-17,0.586021502,1.211207242,1.23731646,977,1503.47583,695,747.5231323
psk31,2.60E-17,0.560203822,1.293160765,1.223795803,989,995.8671265,1,982.4622192
psk31,4.16E-17,0.619049774,1.22153734,1.226476332,1101,1125.914673,1560,716.9477539
psk31,1.82E-17,0.118218623,1.355197939,1.302710851,1071,896.5148926,1801,755.8892822
psk31,3.84E-17,0.564964099,1.243176301,1.253621983,960,1023.50293,671,992.7421265
psk31,4.66E-17,0.517103106,1.229726057,1.268024098,994,1057.727295,1759,1039.202271
psk31,3.56E-17,0.311762002,1.399986273,1.363205051,984,976.382019,412,847.1166992
psk31,2.66E-17,0.164602784,1.243140662,1.211711162,1061,1003.8703,1892,935.9428711
psk31,2.96E-17,0.621535022,1.385622801,1.34894974,1011,1229.013794,1785,1073.106445
psk31,2.78E-17,0.568795144,1.348489028,1.341423523,1038,1206.050171,334,954.597229
psk31,3.93E-17,0.169460025,1.405401519,1.160757058,1025,897.8017578,240,877.3643799
